id,name,popularity
6w9ToX5slZ4uIdmD17hJ3c,Bryant Myers,79
4YLtscXsxbVgi031ovDDdh,Chris Stapleton,79
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,79
0pePYDrJGk8gqMRbXrLJC8,Luis R Conriquez,79
3xvaSlT4xsyk6lY1ESOspO,Disney,79
4Gso3d4CscCijv0lmajZWs,Don Toliver,79
33ScadVnbm2X8kkUqOkC6Z,Don Omar,79
2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,79
0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,79
7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,79
1Mxqyy3pSjf8kZZL4QVxS0,Frank Sinatra,79
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,79
1dKdetem2xEmjgvyymzytS,Grupo Firme,79
6AgTAQt8XS6jRWi4sX7w49,Polo G,79
26VFTg2z8YR0cCuwLzESi2,Halsey,79
6Xgp2XMz1fhVYe7i6yNAax,Trippie Redd,79
137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,79
4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,79
57vWImR43h4CaDao012Ofp,Steve Lacy,79
2ye2Wgw4gimLv2eAKyk1NB,Metallica,79
0lAWpj5szCSwM4rUMHYmrr,Måneskin,79
5C4PDR4LnhZTbVnKWXuDKD,Morat,79
6olE6TJLqED3rqDCT0FyPh,Nirvana,79
7ITMCzIU9uII8gwRg8JAhc,Odetari,79
45TgXXqMDdF8BkjA83OM7z,Rod Wave,79
4Z8W4fKeB5YxbusRsdQVPb,Radiohead,79
31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,78
0z4gvV4rjIZ9wHck67ucSV,Akon,78
711MCceyCBcFnzjGY4Q7Un,AC/DC,78
1vCWHaC5f2uS3yhpwWbIA6,Avicii,78
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,78
2fMqTqiTxUDlmcOEPaQSsx,Amitabh Bhattacharya,78
3gBKY0y3dFFVRqicLnVZYz,Alka Yagnik,78
7oPftvlwr6VrsViSDV7fJY,Green Day,78
6FBDaR13swtiWwGhX1WQsP,blink-182,78
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,78
7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,78
3wcj11K77LjEY1PkEazffa,Burna Boy,78
37230BxxYs9ksS7OkZw3IU,Chencho Corleone,78
0XwVARXT135rw8lyw1EeWP,Christian Nodal,78
0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,78
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,78
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,78
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,78
4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,78
7j6DKwmjbxvpQO8h914uEz,Ryan Castro,78
4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,78
3Sz7ZnJQBIHsXLUSo0OQtM,Mac DeMarco,78
7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,78
7gW0r5CkdEUMm42w9XpyZO,Laufey,78
12vb80Km0Ew53ABfJOepVz,Ñengo Flow,78
1gW6pz5n1aK249L0GvfQCC,Grupo Marca Registrada,78
0Y6dVaC9DZtPNH4591M42W,TV Girl,78
7MiDcPa6UiV3In7lIM71IN,Gusttavo Lima,78
23zg3TcAtWQy7J6upgbUnj,USHER,78
3MZsBdqDrRTJihTHQrO6Dq,Joji,78
31TPClRtHm23RisEBtV3X7,Justin Timberlake,78
1SupJlEpv7RS2tPNRaHViT,Nicky Jam,78
47mIJdHORyRerp4os813jD,League of Legends,78
1zNqQNIdeOUZHb8zbZRFMX,Swae Lee,78
63yrD80RY3RNEM2YDpUpO8,Melanie Martinez,78
1KCSPY1glIKqW2TotWuXOR,P!nk,78
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,78
5KKpBU5eC2tJDzf0wmlRp2,RAYE,78
3WGpXCj9YhhfX11TToZcXP,Troye Sivan,78
7nqOGRxlXj7N2JYbgNEjYH,SEVENTEEN,78
07YUOmWljBTXwIseAUd9TW,Sebastian Yatra,78
0LcJLqbBmaGUft1e9Mm8HV,ABBA,77
3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,77
